Date,Segment,Customers,New_Customers,Churned,Retention_Rate,LTV
2024-01-01,Enterprise,1250,85,32,97.4,48500
2024-01-01,Mid-Market,3400,210,145,95.7,22000
2024-01-01,SMB,8200,520,380,95.4,8500
2024-01-01,Startup,2100,180,120,94.3,5200
2024-02-01,Enterprise,1303,78,25,98.1,49200
2024-02-01,Mid-Market,3465,195,130,96.2,22500
2024-02-01,SMB,8340,480,340,95.9,8700
2024-02-01,Startup,2160,165,105,95.1,5400
2024-03-01,Enterprise,1356,82,29,97.9,49800
2024-03-01,Mid-Market,3530,205,140,96.0,22800
2024-03-01,SMB,8480,510,370,95.6,8900
2024-03-01,Startup,2220,170,110,95.0,5500
2024-04-01,Enterprise,1409,88,35,97.5,50200
2024-04-01,Mid-Market,3595,200,135,96.2,23200
2024-04-01,SMB,8620,500,360,95.8,9100
2024-04-01,Startup,2280,175,115,95.0,5600
2024-05-01,Enterprise,1462,92,39,97.3,50800
2024-05-01,Mid-Market,3660,215,150,95.9,23500
2024-05-01,SMB,8760,520,380,95.7,9300
2024-05-01,Startup,2340,185,125,94.7,5800
2024-06-01,Enterprise,1515,95,42,97.2,51500
2024-06-01,Mid-Market,3725,220,155,95.8,23800
2024-06-01,SMB,8900,530,390,95.6,9500
2024-06-01,Startup,2400,190,130,94.6,5900
2024-07-01,Enterprise,1568,98,45,97.1,52000
2024-07-01,Mid-Market,3790,225,160,95.8,24200
2024-07-01,SMB,9040,540,400,95.6,9700
2024-07-01,Startup,2460,195,135,94.5,6000
2024-08-01,Enterprise,1621,100,47,97.1,52500
2024-08-01,Mid-Market,3855,230,165,95.7,24500
2024-08-01,SMB,9180,550,410,95.5,9900
2024-08-01,Startup,2520,200,140,94.4,6100
2024-09-01,Enterprise,1674,105,52,96.9,53000
2024-09-01,Mid-Market,3920,235,170,95.7,24800
2024-09-01,SMB,9320,560,420,95.5,10100
2024-09-01,Startup,2580,205,145,94.4,6200
2024-10-01,Enterprise,1727,108,55,96.8,53500
2024-10-01,Mid-Market,3985,240,175,95.6,25200
2024-10-01,SMB,9460,570,430,95.5,10300
2024-10-01,Startup,2640,210,150,94.3,6300
2024-11-01,Enterprise,1780,112,59,96.7,54000
2024-11-01,Mid-Market,4050,245,180,95.6,25500
2024-11-01,SMB,9600,580,440,95.4,10500
2024-11-01,Startup,2700,215,155,94.3,6400
2024-12-01,Enterprise,1833,115,62,96.6,54500
2024-12-01,Mid-Market,4115,250,185,95.5,25800
2024-12-01,SMB,9740,590,450,95.4,10700
2024-12-01,Startup,2760,220,160,94.2,6500
