Date,Department,Revenue,Expenses,Net_Income,Budget,Variance
2024-01-01,Engineering,0,850000,-850000,900000,50000
2024-01-01,Sales,2400000,620000,1780000,2200000,200000
2024-01-01,Marketing,0,450000,-450000,480000,30000
2024-01-01,Operations,0,380000,-380000,400000,20000
2024-01-01,HR,0,280000,-280000,300000,20000
2024-02-01,Engineering,0,870000,-870000,900000,30000
2024-02-01,Sales,2550000,640000,1910000,2300000,250000
2024-02-01,Marketing,0,465000,-465000,480000,15000
2024-02-01,Operations,0,390000,-390000,400000,10000
2024-02-01,HR,0,285000,-285000,300000,15000
2024-03-01,Engineering,0,890000,-890000,900000,10000
2024-03-01,Sales,2650000,660000,1990000,2400000,250000
2024-03-01,Marketing,0,475000,-475000,480000,5000
2024-03-01,Operations,0,395000,-395000,400000,5000
2024-03-01,HR,0,290000,-290000,300000,10000
2024-04-01,Engineering,0,910000,-910000,920000,10000
2024-04-01,Sales,2500000,650000,1850000,2400000,100000
2024-04-01,Marketing,0,490000,-490000,500000,10000
2024-04-01,Operations,0,400000,-400000,410000,10000
2024-04-01,HR,0,295000,-295000,310000,15000
2024-05-01,Engineering,0,920000,-920000,920000,0
2024-05-01,Sales,2700000,670000,2030000,2500000,200000
2024-05-01,Marketing,0,495000,-495000,500000,5000
2024-05-01,Operations,0,405000,-405000,410000,5000
2024-05-01,HR,0,298000,-298000,310000,12000
2024-06-01,Engineering,0,940000,-940000,950000,10000
2024-06-01,Sales,2800000,680000,2120000,2600000,200000
2024-06-01,Marketing,0,510000,-510000,520000,10000
2024-06-01,Operations,0,415000,-415000,420000,5000
2024-06-01,HR,0,300000,-300000,310000,10000
2024-07-01,Engineering,0,950000,-950000,950000,0
2024-07-01,Sales,2750000,690000,2060000,2600000,150000
2024-07-01,Marketing,0,505000,-505000,520000,15000
2024-07-01,Operations,0,410000,-410000,420000,10000
2024-07-01,HR,0,305000,-305000,310000,5000
2024-08-01,Engineering,0,960000,-960000,970000,10000
2024-08-01,Sales,2900000,700000,2200000,2700000,200000
2024-08-01,Marketing,0,520000,-520000,530000,10000
2024-08-01,Operations,0,420000,-420000,430000,10000
2024-08-01,HR,0,308000,-308000,320000,12000
2024-09-01,Engineering,0,980000,-980000,990000,10000
2024-09-01,Sales,3000000,710000,2290000,2800000,200000
2024-09-01,Marketing,0,530000,-530000,540000,10000
2024-09-01,Operations,0,425000,-425000,430000,5000
2024-09-01,HR,0,312000,-312000,320000,8000
2024-10-01,Engineering,0,990000,-990000,1000000,10000
2024-10-01,Sales,3100000,720000,2380000,2900000,200000
2024-10-01,Marketing,0,540000,-540000,550000,10000
2024-10-01,Operations,0,430000,-430000,440000,10000
2024-10-01,HR,0,315000,-315000,320000,5000
2024-11-01,Engineering,0,1000000,-1000000,1010000,10000
2024-11-01,Sales,3200000,730000,2470000,3000000,200000
2024-11-01,Marketing,0,550000,-550000,560000,10000
2024-11-01,Operations,0,435000,-435000,440000,5000
2024-11-01,HR,0,318000,-318000,325000,7000
2024-12-01,Engineering,0,1020000,-1020000,1030000,10000
2024-12-01,Sales,3350000,740000,2610000,3100000,250000
2024-12-01,Marketing,0,560000,-560000,570000,10000
2024-12-01,Operations,0,440000,-440000,450000,10000
2024-12-01,HR,0,320000,-320000,325000,5000
